indice_tiempo,demanda_total,demanda_residencial,comercio_e_industria,grandes_usuarios,temperatura_promedio,potencia_maxima,ede_tucuman,edelap_sa,edenor_distribuidor,edesal_distribuidor,edestesa_emp_dist__este,edesur_distribuidor,emp_de_energia_de_rio_negro_sa,emp_dist_energ_atlantica,emp_de_energia_de_la_rioja_sa,emp_dist_energia_de_salta,emp_electric_misiones_sa,empresa_dis_estero_sa,empresa_jujenia_de_energia_sa,energia_de_catamarca_sa,energia_de_entre_rios_sa,energia_de_mendoza_sa,energia_san_juan_sa_exedessa,epec_distribuidor,epen_distribuidor,epesf_distribuidor,recursos_y_energia_formosa_sa,secheep,spse_santa_cruz
2009-06-01,9114.2,3721.346,3529.784000000001,1863.0700000000002,11.6,18948.0,,,,,,,,,,,,,,,,,,,,,,,
2009-07-01,9508.0,4052.004,3612.156,1843.8400000000001,10.8,19566.0,,,,,,,,,,,,,,,,,,,,,,,
2009-08-01,8738.4,3502.447,3400.9429999999993,1835.01,15.6,17862.0,,,,,,,,,,,,,,,,,,,,,,,
2009-09-01,8350.2,3023.058,3474.772000000001,1852.3700000000001,13.6,17895.0,,,,,,,,,,,,,,,,,,,,,,,
2009-10-01,8420.7,3027.54,3471.5500000000006,1921.6100000000001,17.7,18023.0,,,,,,,,,,,,,,,,,,,,,,,
2009-11-01,8644.0,3065.794,3643.166,1935.04,21.1,17426.0,,,,,,,,,,,,,,,,,,,,,,,
2009-12-01,9023.6,3336.758,3780.4820000000004,1906.3600000000001,22.6,18422.0,,,,,,,,,,,,,,,,,,,,,,,
2010-01-01,9740.0,3931.898,3934.7519999999995,1873.3500000000001,26.1,19370.0,,,,,,,,,,,,,,,,,,,,,,,
2010-02-01,8773.9,3361.184,3579.0859999999993,1833.63,24.2,19332.0,,,,,,,,,,,,,,,,,,,,,,,
2010-03-01,9518.9,3540.492,3911.7779999999993,2066.63,23.1,18408.0,,,,,,,,,,,,,,,,,,,,,,,
2010-04-01,8434.1,2875.625,3598.0850000000005,1960.3899999999999,17.2,16937.0,,,,,,,,,,,,,,,,,,,,,,,
2010-05-01,8866.4,3296.137,3631.2729999999992,1938.99,15.2,18228.0,,,,,,,,,,,,,,,,,,,,,,,
2010-06-01,9367.0,3825.755,3646.075,1895.17,12.5,18770.0,,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,10081.1,4346.177,3794.323000000001,1940.6,10.7,20396.0,,,,,,,,,,,,,,,,,,,,,,,
2010-08-01,9733.1,4043.618,3702.0519999999997,1987.43,11.9,20843.0,,,,,,,,,,,,,,,,,,,,,,,
2010-09-01,8755.9,3237.488,3594.4820000000004,1923.9299999999998,15.3,19346.0,,,,,,,,,,,,,,,,,,,,,,,
